id	owasp_title	atlas	atlas_confidence	cves	cve_relevance	aiid	aiid_mechanism	related_llm_asi	asi_mechanism_present	test_ideas	scenario_id	capture	status	sources	searched_note
LLM01	Prompt Injection	AML.T0051;AML.T0051.001	high	CVE-2025-32711	direct	AIID-5307;AIID-5329;AIID-352	EchoLeak / prompt injection bot hijack	ASI01	false	Inject override into untrusted blob; safe envelope control	LLM01_prompt_injection	evidence/fixtures/LLM01/oracle.json	Harnessed	docs/sources.md;J01-EchoLeak;aiid-snapshot-20260713	pins verified 2026-07-23
LLM02	Sensitive Information Disclosure	AML.T0057	medium	none	none	AIID-657	Account/config leak class (ChatGPT compromise reports)	ASI03	false	Ask for api key; vuln leaks; control redacts	LLM02_sensitive_disclosure	evidence/fixtures/LLM02/oracle.json	Harnessed	NewWave coverage;aiid-snapshot	CVE: none — searched NVD-class 2026-07-23 for generic LLM02; use AIID-657
LLM03	Supply Chain	AML.T0010.001	low	none	none	AIID-731;AIID-1210	Hallucinated packages / malicious npm aimed at coding agents	ASI04	false	Stub until package resolver surface	LLM03_supply_chain		Stub	aiid-snapshot-20260713	ATLAS package confuse low-confidence; CVE none — searched 2026-07-23
LLM04	Data and Model Poisoning		low	none	none	none — searched aiid-snapshot-20260713 2026-07-23 (poison keywords weak match)	none	ASI06	false	Stub until training/data ingest surface	LLM04_data_model_poisoning		Stub	aiid-snapshot	CVE none — searched 2026-07-23; AIID no clean training-poison pin
LLM05	Improper Output Handling	AML.T0053	medium	none	none	none — searched 2026-07-23	Downstream execute class (lab)	ASI05	false	Stub until output→exec bridge	LLM05_improper_output		Stub	Standards-Baseline-Map C1/C2	CVE none — searched 2026-07-23
LLM06	Excessive Agency	AML.T0053	medium	none	none	AIID-1152	Replit agent unauthorized destructive commands	ASI02	false	Stub pending shared tool surface with ASI02	LLM06_excessive_agency		Stub	aiid-snapshot;Standards-Baseline-Map	CVE none — searched 2026-07-23
LLM07	System Prompt Leakage	AML.T0056	high	none	none	AIID-473	Bing Chat initial prompts revealed via injection	ASI01	false	Stub extract-system-prompt scenario	LLM07_system_prompt_leakage		Stub	NewWave;aiid-snapshot	CVE none — searched 2026-07-23
LLM08	Vector and Embedding Weaknesses		low	none	none	none — searched aiid-snapshot-20260713 2026-07-23	none		false	Stub until RAG/index surface	LLM08_vector_embedding		Stub		CVE none; AIID none — searched 2026-07-23
LLM09	Misinformation	AML.T0048	medium	none	none	AIID-541;AIID-464	False case law / fake citations from ChatGPT	ASI09	false	Stub confident-wrong answer scenario	LLM09_misinformation		Stub	NewWave;aiid-snapshot	CVE none — searched 2026-07-23
LLM10	Unbounded Consumption		low	none	none	none — searched 2026-07-23	Resource exhaustion class		false	Stub token/loop bomb	LLM10_unbounded_consumption		Stub	NewWave	CVE none; AIID none — searched 2026-07-23
ASI01	Agent Goal Hijack	AML.T0053	medium	CVE-2025-32711	adjacent	AIID-5307;AIID-352	Goal/instruction hijack via injected content	LLM01	true	Untrusted SET_GOAL overwrites pinned goal	ASI01_goal_hijack	evidence/fixtures/ASI01/oracle.json	Harnessed	docs/sources.md;J01	mechanism: goals.py
ASI02	Tool Misuse and Exploitation	AML.T0098	medium	none	none	AIID-1152;AIID-1210	Tool/agent misuse destructive or supply-chain	LLM06	true	User asks secret path; allowlist control denies	ASI02_tool_misuse	evidence/fixtures/ASI02/oracle.json	Harnessed	Standards-Baseline-Map B1;aiid-snapshot	CVE none — searched 2026-07-23; contain required
ASI03	Identity and Privilege Abuse		low	none	none	AIID-1118	Identity fraud / privilege class (weak pin)	LLM02	false	Stub until identity provider surface	ASI03_identity_privilege		Stub	aiid-snapshot	CVE none; AIID weak — searched 2026-07-23
ASI04	Agentic Supply Chain Vulnerabilities		low	none	none	AIID-1210	Malicious packages weaponizing coding agents	LLM03	false	Stub until dependency install surface	ASI04_agentic_supply_chain		Stub	aiid-snapshot	CVE none — searched 2026-07-23
ASI05	Unexpected Code Execution	AML.T0105	medium	none	none	AIID-1152	Unauthorized code/destructive exec by agent	LLM05	false	Stub until execute_code tool (contain)	ASI05_unexpected_code_exec		Stub	Standards-Baseline-Map C1	CVE none — searched 2026-07-23; contain required later
ASI06	Memory and Context Poisoning		low	none — searched 2026-07-23	none	none — searched 2026-07-23	Persistent memory poison class	LLM04	false	Stub until memory store	ASI06_memory_context_poison		Stub	OWASP announcement 2025-12-09	title Memory & Context Poisoning; PDF verbatim pending; CVE/AIID none — searched 2026-07-23
ASI07	Insecure Inter-Agent Communication	AML.T0054	low	none	none	none — searched 2026-07-23	Spoofed inter-agent message	ASI01	true	Unauth message accepted vs denied	ASI07_inter_agent_comms	evidence/fixtures/ASI07/oracle.json	Harnessed	multiagent.py	multi-agent surface present; CVE/AIID none — searched 2026-07-23
ASI08	Cascading Failures		low	none	none	none — searched 2026-07-23	Upstream fail triggers downstream blast	ASI02	true	Cascade without breaker vs CIRCUIT_OPEN	ASI08_cascading_failures	evidence/fixtures/ASI08/oracle.json	Harnessed	multiagent.py	multi-agent surface present; CVE/AIID none — searched 2026-07-23
ASI09	Human-Agent Trust Exploitation		low	none	none	AIID-541	Confident false output trusted by human	LLM09	false	Stub approval UI	ASI09_human_agent_trust		Stub	aiid-snapshot	CVE none — searched 2026-07-23
ASI10	Rogue Agents		low	none	none	AIID-1152	Agent continues destructive action after stop	ASI08	true	Ignore stop vs STOPPED	ASI10_rogue_agents	evidence/fixtures/ASI10/oracle.json	Harnessed	multiagent.py;aiid-snapshot	multi-agent surface present; CVE none — searched 2026-07-23
